gain,split
816.1070375717792,238.61032863849766
438.8449720742242,216.67136150234742
403.08340844212915,205.03755868544602
365.16969480148646,191.48356807511738
350.00297608664107,203.55399061032864
344.45906418477983,187.19718309859155
327.20745619206184,186.42253521126761
310.0938290030885,165.5868544600939
297.16797229054737,167.63849765258215
290.3553049540051,157.54929577464787
282.5252698520067,168.7605633802817
272.3665595543636,110.36150234741784
237.06210671193864,141.1737089201878
236.47948289583897,140.08920187793427
228.2078274356927,138.70422535211267
222.46118368104345,138.77464788732394
