gain,split
452.9744504461019,214.97530864197532
297.89771154107825,159.79012345679013
254.43116733436415,135.09876543209876
252.29838431543774,156.90740740740742
240.7632528046537,149.39506172839506
222.4099953610588,140.5
210.6039112606603,126.44444444444444
210.32498337645774,135.32716049382717
210.08908071582792,130.53086419753086
202.10298881650453,127.6358024691358
187.55979509306727,121.15432098765432
185.11099991519694,119.23456790123457
176.46064885411366,119.0
159.74828566799377,101.94444444444444
153.11410140011597,109.01234567901234
145.91534334232594,95.05555555555556
